,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,"196,0000","-0,25","196,6000","192,7000",51.357,"9.985,06",20/04/2022,14:05:01
1,ACERINOX,"10,0700","1,45","10,1500","9,9300",549.250,"5.513,00",20/04/2022,14:03:32
2,ACS,"24,8300","0,36","24,9900","24,8100",195.254,"4.856,16",20/04/2022,14:03:08
3,AENA,"149,7500","-0,27","150,5000","148,5500",37.897,"5.663,36",20/04/2022,14:05:10
4,ALMIRALL,"12,2900","-0,49","12,3600","12,1900",100.272,"1.230,18",20/04/2022,14:04:21
5,AMADEUS,"57,8200","1,72","57,8800","56,5600",154.472,"8.855,53",20/04/2022,14:05:02
6,ARCELORMIT.,"30,4550","0,15","30,9350","30,2850",183.131,"5.618,70",20/04/2022,14:03:50
7,B.SANTANDER,"3,2390","2,44","3,2495","3,1815",102.163.399,"327.516,35",20/04/2022,14:05:04
8,BA.SABADELL,"0,7772","4,94","0,7800","0,7442",20.820.551,"15.985,94",20/04/2022,14:05:13
9,BANKINTER,"5,4140","2,46","5,4480","5,3100",1.220.592,"6.584,03",20/04/2022,14:03:07
10,BBVA,"5,1930","2,18","5,2020","5,1040",6.328.711,"32.654,70",20/04/2022,14:05:04
11,CAIXABANK,"3,1280","3,06","3,1340","3,0510",4.810.027,"14.949,37",20/04/2022,14:05:15
12,CELLNEX,"45,8500","1,26","45,9400","45,2300",239.079,"10.914,08",20/04/2022,14:05:16
13,CIE AUTOMOT.,"20,4800","1,49","20,5800","20,1200",85.897,"1.744,81",20/04/2022,13:55:05
14,ENAGAS,"21,1100","0,76","21,2000","20,8400",277.083,"5.836,06",20/04/2022,14:04:54
15,ENDESA,"19,8200","1,95","19,8400","19,4200",241.322,"4.748,56",20/04/2022,14:04:58
16,FERROVIAL,"25,2900","-0,20","25,4400","24,9600",237.470,"5.994,82",20/04/2022,13:59:16
17,FLUIDRA,"25,5000","2,00","25,5400","24,8400",179.302,"4.508,93",20/04/2022,13:59:02
18,GRIFOLS CL.A,"16,1900","0,94","16,3500","16,0150",498.383,"8.064,63",20/04/2022,14:03:50
19,IAG,"1,7380","-0,11","1,7510","1,7120",7.008.286,"12.123,50",20/04/2022,14:05:06
20,IBERDROLA,"10,6850","2,10","10,6850","10,4100",2.872.954,"30.288,78",20/04/2022,14:05:00
21,INDITEX,"21,0500","1,35","21,0600","20,6900",18.048.906,"377.398,57",20/04/2022,14:05:16
22,INDRA A,"9,3750","2,40","9,3900","9,1000",291.160,"2.711,44",20/04/2022,14:04:14
23,INM.COLONIAL,"8,2200","0,37","8,2350","8,1500",265.760,"2.176,27",20/04/2022,13:56:54
24,MAPFRE,"1,9240","0,68","1,9270","1,8980",1.285.093,"2.454,67",20/04/2022,14:02:52
25,MELIA HOTELS,"7,1000","0,71","7,1400","7,0100",373.111,"2.638,35",20/04/2022,14:05:02
26,MERLIN,"10,8500","2,36","10,8800","10,6600",792.334,"8.539,39",20/04/2022,14:02:56
27,NATURGY,"29,3400","0,79","29,4400","28,7900",50.044,"1.464,83",20/04/2022,14:04:58
28,PHARMA MAR,"77,2400","-0,72","77,5800","76,2000",27.407,"2.108,30",20/04/2022,14:02:56
29,R.E.C.,"19,2400","0,44","19,2400","19,0050",186.845,"3.578,08",20/04/2022,14:02:30
30,REPSOL,"13,6800","0,26","13,8100","13,6100",1.320.484,"18.116,24",20/04/2022,14:04:58
31,ROVI,"64,3500","-0,16","64,8500","63,4000",105.857,"6.769,94",20/04/2022,14:05:05
32,SIEMENS GAME,"16,1950","5,16","16,2800","14,5750",2.326.199,"35.849,28",20/04/2022,14:05:14
33,SOLARIA,"22,1200","3,41","22,2500","21,2000",324.028,"7.066,63",20/04/2022,14:05:01
34,TELEFONICA,"4,8770","-1,34","4,9370","4,8570",6.234.437,"30.552,61",20/04/2022,14:05:02
