,title,author,hits,kudos,words,language,update,url
0,A Guide To Raising Elflings,Niphredilien (Yellow_Feathered_Faerie),9582,421,"43,531",English,22 Apr 2022,/works/30761684
1,And Thou Hast Given Them Blood to Drink,Hinu,960,46,"71,353",English,22 Apr 2022,/works/37798999
2,Tumblr Prompts: A Guide to Raising Elflings,Niphredilien (Yellow_Feathered_Faerie),33,3,"2,449",English,22 Apr 2022,/works/38542471
3,和恶魔讲道理,katherine_the_archer,25,1,"3,387",中文-普通话 國語,21 Apr 2022,/works/38526940
4,Build Up A New Us,Harp_of_Gold,45574,1425,"310,390",English,20 Apr 2022,/works/17806742
5,A Chronicle of Maedhros,Alexander_Watson,3178,98,"183,577",English,18 Apr 2022,/works/30109704
6,"Forgive Me, I Meant To Do It",SaratWept,241,19,"11,197",English,16 Apr 2022,/works/37962019
7,Golden Angbang - Porn with Plot (PWP),Silmarils (semit),2123,75,"3,172",English,15 Apr 2022,/works/22363414
8,Fëanor & Melkor - An Oath of a Different Kind,Silmarils (semit),529,32,"3,414",English,15 Apr 2022,/works/22940785
9,Sirivennela,Manikarnikasnakesofindiasursesaji,253,54,"1,489",English,15 Apr 2022,/works/37897468
10,A Linguistic History of Middle-earth,Kingsword,106,8,"3,126",English,14 Apr 2022,/works/38376946
11,find me in the dark (i'll meet you below),falindis,4208,162,"63,561",English,13 Apr 2022,/works/35032873
12,Orök láng,ErlyMisaki,80,2,"4,339",Español,09 Apr 2022,/works/38273335
13,Do You Remember Me,Thelien,835,55,"10,573",English,08 Apr 2022,/works/36420676
14,Dragonsoul,drakangrl9,6422,296,"114,113",English,08 Apr 2022,/works/7529347
15,Vanity,dhaika,158,17,"9,126",English,07 Apr 2022,/works/38231422
16,what happens when we turn around,Kingsword,133,10,"2,466",English,06 Apr 2022,/works/38195926
17,Old Souls,Feathered_Vagabond,145,12,"3,685",English,06 Apr 2022,/works/38210683
18,Look In My Eye,Darksilversilhouette,121,9,"1,003",English,06 Apr 2022,/works/38195017
19,Melkor's Kind Hand of Discipline,Silmarils (semit),546,21,"3,416",English,05 Apr 2022,/works/24289312
20,The Loves and Lusts of the Valar,Umeko,1345,52,"8,231",English,02 Apr 2022,/works/32151802
21,A Matter of the Soul,manekimi (kimikocha),345,47,"6,861",English,01 Apr 2022,/works/38091865
22,All We Have,Kingsword,168,18,399,English,01 Apr 2022,/works/38088514
23,Like Pulling Teeth,manekimi (kimikocha),179,23,"2,650",English,29 Mar 2022,/works/38031106
24,The Sparks of a Great Fire (one-shot collection),catboysauron,307,28,"2,858",English,26 Mar 2022,/works/37973425
25,The Unmaking,singvogel,823,53,"7,703",English,19 Mar 2022,/works/35778253
26,In The Eye Of The Beholder,crazyanimelover98,782,69,"4,560",English,19 Mar 2022,/works/22690756
27,Deber,ErlyMisaki,24,3,"1,111",Español,18 Mar 2022,/works/37814785
28,DEEP IN ANGBAND,2119,83,4,"4,423",中文-普通话 國語,14 Mar 2022,/works/37726198
29,Jailbird,Hinu,188,29,330,English,11 Mar 2022,/works/37662814
30,Naked thrills,StormXPadme,31596,427,"121,830",English,09 Mar 2022,/works/31842238
31,a broken hallelujah,Kingsword,262,25,515,English,09 Mar 2022,/works/37614664
32,Smoke and Ash,Alannada,146,19,"4,056",English,08 Mar 2022,/works/37589251
33,История Темных Айнир со времен Песни сотворения и до завершения Первой Эпохи,celebrimban,159,8,"15,004",Русский,07 Mar 2022,/works/34099378
34,Saturday Night in Angband,Astrance,123,35,"3,867",English,07 Mar 2022,/works/37574635
35,Shadow’d From Heaven’s Eye,manekimi (kimikocha),257,28,"1,898",English,04 Mar 2022,/works/37508338
36,Shireguard,Kingsword,1216,139,"10,285",English,02 Mar 2022,/works/34976767
