,roundinfo_id,fight_id,fight_round,fighter_id,kd,sig_str_made,sig_str_attempted,sig_str_percent,total_str_made,total_str_attempted,td_made,td_attempted,td_percent,pass,rev,head_attempted,head_made,body_attempted,body_made,leg_attempted,leg_made,distance_attempted,distance_made,clinch_attempted,clinch_made,ground_attempted
0,9532,1,5130,1,14,28,50,14,28,0,1,0,0,0,26,12,1,1,1,1,24,11,4,3,0,0
1,9532,1,5131,0,10,19,52,10,19,0,0,0,0,0,14,6,1,1,4,3,15,8,4,2,0,0
2,9533,1,5132,0,10,16,62,28,36,0,0,0,0,0,14,8,2,2,0,0,13,8,1,1,2,1
3,9533,1,5133,0,44,72,61,64,111,3,4,75,0,0,69,42,1,1,2,1,7,2,1,1,64,41
4,9533,2,5132,0,7,11,63,12,16,0,0,0,0,0,9,5,2,2,0,0,11,7,0,0,0,0
5,9533,2,5133,0,10,16,62,42,64,2,2,100,1,0,16,10,0,0,0,0,3,0,0,0,13,10
6,9533,3,5132,0,2,5,40,11,15,0,1,0,0,0,4,1,1,1,0,0,5,2,0,0,0,0
7,9533,3,5133,0,4,7,57,65,96,2,3,66,0,0,7,4,0,0,0,0,0,0,0,0,7,4
8,9534,1,5134,1,21,46,45,24,51,0,1,0,0,0,39,16,4,2,3,3,26,10,4,3,16,8
9,9534,1,5135,0,10,29,34,15,35,0,1,0,0,1,25,6,2,2,2,2,27,8,2,2,0,0
10,9534,2,5134,0,11,28,39,24,42,0,1,0,0,0,21,6,4,2,3,3,27,10,1,1,0,0
11,9534,2,5135,0,21,38,55,30,50,0,2,0,0,0,24,10,13,11,1,0,26,10,12,11,0,0
12,9534,3,5134,0,18,40,45,20,42,0,1,0,0,0,30,10,8,7,2,1,36,16,4,2,0,0
13,9534,3,5135,0,17,39,43,29,53,1,4,25,0,0,25,9,10,5,4,3,35,15,4,2,0,0
14,9535,1,5136,0,4,10,40,7,13,0,0,0,0,0,7,1,0,0,3,3,10,4,0,0,0,0
15,9535,1,5137,0,8,15,53,17,26,2,3,66,0,0,13,6,2,2,0,0,6,2,0,0,9,6
16,9535,2,5136,0,3,15,20,3,15,0,0,0,0,0,10,0,1,1,4,2,15,3,0,0,0,0
17,9535,2,5137,1,10,15,66,10,15,0,1,0,0,0,12,7,2,2,1,1,13,8,0,0,2,2
18,9536,1,5138,0,18,56,32,19,59,0,0,0,0,0,34,7,13,5,9,6,54,17,2,1,0,0
19,9536,1,5139,0,14,31,45,20,39,3,3,100,0,0,23,7,5,4,3,3,30,14,0,0,1,0
20,9536,2,5138,0,18,45,40,18,45,0,0,0,0,0,35,11,10,7,0,0,44,18,1,0,0,0
21,9536,2,5139,0,11,27,40,11,28,1,4,25,0,0,23,8,2,1,2,2,24,8,0,0,3,3
22,9537,1,5140,1,18,30,60,18,30,0,0,0,0,0,28,16,2,2,0,0,26,16,0,0,4,2
23,9537,1,5141,0,2,19,10,5,22,0,2,0,0,0,18,2,1,0,0,0,19,2,0,0,0,0
24,9538,1,5142,0,5,11,45,24,30,1,1,100,0,0,9,3,1,1,1,1,8,3,0,0,3,2
25,9538,1,5143,0,4,5,80,7,8,1,1,100,1,0,4,3,1,1,0,0,5,4,0,0,0,0
26,9538,2,5142,0,5,11,45,24,30,1,1,100,1,0,9,3,1,1,1,1,8,3,0,0,3,2
27,9538,2,5143,0,4,5,80,7,8,0,0,0,0,0,4,3,1,1,0,0,5,4,0,0,0,0
28,9538,3,5142,0,2,10,20,3,12,2,2,100,0,0,10,2,0,0,0,0,8,1,1,0,1,1
29,9538,3,5143,0,3,12,25,5,14,0,0,0,2,0,11,2,1,1,0,0,11,2,1,1,0,0
30,9539,1,5144,1,5,10,50,5,10,0,0,0,0,0,9,4,1,1,0,0,8,4,0,0,2,1
31,9539,1,5145,0,5,9,55,5,9,0,1,0,1,0,5,2,1,1,3,2,9,5,0,0,0,0
32,9540,1,5146,0,8,18,44,23,37,0,1,0,0,1,16,8,2,0,0,0,8,1,0,0,10,7
33,9540,1,5147,0,2,5,40,20,23,0,0,0,0,0,4,1,0,0,1,1,5,2,0,0,0,0
34,9540,2,5146,0,4,11,36,7,15,1,3,33,0,0,8,1,3,3,0,0,9,2,2,2,0,0
35,9540,2,5147,0,9,13,69,37,51,0,1,0,0,1,11,7,1,1,1,1,10,6,2,2,1,1
36,9540,3,5146,0,2,16,12,2,16,0,0,0,0,0,13,1,3,1,0,0,16,2,0,0,0,0
37,9540,3,5147,1,6,16,37,7,17,0,0,0,0,0,12,3,1,1,3,2,14,5,0,0,2,1
38,9541,1,5148,0,25,43,58,28,46,0,0,0,0,0,18,7,12,8,13,10,42,24,1,1,0,0
39,9541,1,5149,0,23,62,37,25,65,1,1,100,0,0,47,10,8,6,7,7,60,23,2,0,0,0
40,9541,2,5148,0,60,91,65,64,97,0,1,0,0,0,63,35,12,12,16,13,64,39,5,5,22,16
41,9541,2,5149,0,18,55,32,19,56,0,0,0,0,0,40,6,10,7,5,5,54,17,1,1,0,0
42,9541,3,5148,0,52,94,55,58,103,0,1,0,0,0,68,28,16,14,10,10,69,32,25,20,0,0
43,9541,3,5149,0,15,54,27,15,55,0,0,0,0,0,45,10,7,3,2,2,54,15,0,0,0,0
44,9542,1,5150,0,24,38,63,37,51,0,0,0,0,0,21,10,14,11,3,3,35,21,3,3,0,0
45,9542,1,5151,0,15,48,31,48,83,1,1,100,0,0,39,11,9,4,0,0,45,13,2,1,1,1
46,9542,2,5150,0,21,41,51,24,44,0,0,0,1,0,27,12,14,9,0,0,36,17,5,4,0,0
47,9542,2,5151,0,11,38,28,16,43,0,1,0,0,0,26,5,9,5,3,1,34,9,4,2,0,0
48,9543,1,5152,0,6,14,42,40,51,3,4,75,0,0,12,4,1,1,1,1,8,2,0,0,6,4
49,9543,1,5153,0,3,6,50,6,9,0,0,0,0,0,6,3,0,0,0,0,4,2,2,1,0,0
50,9543,2,5152,0,13,15,86,31,41,1,2,50,0,0,9,7,5,5,1,1,6,6,3,3,6,4
51,9543,2,5153,0,2,2,100,5,6,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0
52,9543,3,5152,0,6,12,50,46,55,2,2,100,0,0,10,4,2,2,0,0,11,5,0,0,1,1
53,9543,3,5153,0,5,8,62,13,18,0,0,0,0,0,5,4,3,1,0,0,5,2,3,3,0,0
54,9544,1,5154,0,5,11,45,18,28,1,5,20,1,0,5,2,3,0,3,3,10,4,0,0,1,1
55,9544,1,5155,0,4,17,23,4,17,0,0,0,1,0,6,0,6,2,5,2,17,4,0,0,0,0
56,9544,2,5154,0,4,9,44,4,9,0,1,0,2,0,7,2,1,1,1,1,8,3,1,1,0,0
57,9544,2,5155,0,9,17,52,9,17,1,1,100,0,0,8,2,6,6,3,1,17,9,0,0,0,0
58,9545,1,5156,0,48,92,52,51,96,0,2,0,0,0,66,28,23,17,3,3,76,35,15,13,1,0
59,9545,1,5157,1,54,87,62,58,91,0,0,0,0,0,85,52,2,2,0,0,76,47,7,5,4,2
60,9545,2,5156,0,23,32,71,45,54,0,3,0,0,1,27,19,5,4,0,0,4,2,3,3,25,18
61,9545,2,5157,0,3,5,60,10,12,0,0,0,0,0,5,3,0,0,0,0,2,1,0,0,3,2
62,9545,3,5156,0,2,7,28,2,7,0,1,0,3,0,6,1,1,1,0,0,6,1,1,1,0,0
63,9545,3,5157,0,1,2,50,1,2,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0
64,9546,1,5158,0,10,14,71,22,27,1,1,100,0,0,7,4,2,1,5,5,12,8,0,0,2,2
65,9546,1,5159,0,5,20,25,16,32,0,0,0,0,0,19,5,1,0,0,0,20,5,0,0,0,0
66,9546,2,5158,0,36,85,42,36,85,0,0,0,0,0,78,32,1,0,6,4,85,36,0,0,0,0
67,9546,2,5159,0,74,115,64,74,115,1,1,100,1,0,103,64,12,10,0,0,114,73,1,1,0,0
68,9547,1,5160,0,20,41,48,21,42,0,0,0,0,0,33,13,3,2,5,5,41,20,0,0,0,0
69,9547,1,5161,0,26,63,41,26,63,0,0,0,0,0,54,17,5,5,4,4,62,25,1,1,0,0
70,9547,2,5160,0,19,47,40,19,47,0,0,0,0,0,41,16,5,2,1,1,47,19,0,0,0,0
71,9547,2,5161,0,26,73,35,26,73,1,4,25,0,0,61,15,5,4,7,7,73,26,0,0,0,0
72,9547,3,5160,0,46,73,63,46,73,0,0,0,0,0,71,44,1,1,1,1,73,46,0,0,0,0
73,9547,3,5161,0,39,93,41,39,93,0,0,0,0,0,80,30,7,3,6,6,93,39,0,0,0,0
74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,9548,1,5163,0,9,17,52,9,17,0,1,0,0,0,10,4,1,0,6,5,17,9,0,0,0,0
76,9549,1,5164,0,11,47,23,11,47,0,2,0,0,0,32,2,6,3,9,6,47,11,0,0,0,0
